"Plotname","easting","northing","richness","altitude","TCI"
"SD018",224.5035,3169.2886,17,1.0976,1.04
"SD019",225.0035,3169.8886,18,0.9456,1.07
"SD020",225.4035,3170.3886,29,0.797,1.01
"SD021",226.5035,3170.6886,23,0.6421,1.03
"SD022",230.0035,3163.7886,12,0.0099,1
"SD023",229.6035,3163.7886,10,0.0831,1.09
"SD024",229.1035,3164.7886,14,0.2209,1.02
"SD025",227.6035,3164.7886,34,0.6081,1.12
"SD026",228.3035,3177.5886,24,0.2496,1.38
"SD027",228.0035,3177.6886,33,0.3417,1.08
"SD028",227.7035,3177.9886,30,0.4007,1.17
"SD029",227.6035,3178.2886,32,0.3868,1.17
"SD030",227.2035,3178.7886,45,0.5189,1.16
"SD031",226.8035,3178.9886,32,0.5813,1.61
"SD032",226.4035,3179.2886,42,0.6851,1.69
"SD033",226.1035,3179.2886,36,0.8028,1.39
"SD034",225.9035,3179.4886,33,0.8841,2.1
"SD035",225.8035,3179.5886,38,0.946,2.21
"SD036",225.6035,3179.7886,37,0.9523,2.08
"SD037",225.5035,3179.8886,34,0.8694,2.37
"SD038",225.4035,3179.9886,34,0.967,1.65
"SD039",225.3035,3179.9886,38,1.039,2.07
"SD040",225.2035,3179.9886,27,1.14,2.97
"SD041",224.9035,3179.9886,31,1.4545,1.99
"SD042",225.2035,3179.6886,32,1.3014,1.61
"SD043",229.9035,3178.4886,26,0.2395,1.01
"SD044",230.1035,3178.4886,13,0.2149,1.05
"SD045",230.0035,3179.3886,17,0.3879,1.39
"SD046",229.9035,3179.3886,19,0.393,1.13
"SD047",229.5035,3179.8886,21,0.5866,1.52
"SD048",229.3035,3179.7886,24,0.5648,1.14
"SD049",229.2035,3180.5886,23,0.7331,1.17
"SD050",229.1035,3180.4886,23,0.7015,1.19
"SD051",227.9035,3180.4886,21,1.0467,1.23
"SD052",227.9035,3180.2886,18,1.0145,1.04
"SD053",227.2035,3180.6886,17,1.2413,1.16
"SD054",227.3035,3180.5886,7,1.1817,1.21
"SD055",226.3035,3180.6886,10,1.2967,1.21
"SD056",226.2035,3180.6886,6,1.2779,1.32
"SD057",225.9035,3181.4886,6,1.5855,1.05
"SD058",226.0035,3181.4886,5,1.5476,1.05
"SD059",224.6035,3181.6886,2,1.8612,1.06
"SD060",224.7035,3181.5886,4,1.8133,1.07
"SD061",224.0035,3182.1886,8,1.9605,1.08
"SD062",224.0035,3182.2886,4,1.9476,1.12
"SD063",223.7035,3183.1886,11,2.0496,1.12
"SD064",223.3035,3183.3886,14,2.1062,1.17
"SD065",217.7035,3184.0886,3,2.3273,1.05
"SD066",217.7035,3183.8886,3,2.3419,1.08
"SD067",217.6035,3185.0886,7,2.1713,1
"SD068",217.5035,3184.9886,2,2.1784,1.02
"SD069",216.5035,3185.4886,2,2.0041,1.15
"SD070",216.4035,3186.3886,3,1.8633,1.29
"SD071",216.3035,3186.3886,5,1.8653,1.13
"SD072",216.3035,3186.9886,8,1.689,1.17
"SD074",215.1035,3187.3886,8,1.4072,1.16
"SD076",215.0035,3187.9886,13,1.2858,1.11
"SD077",215.0035,3188.2886,17,1.232,1.09
"SD078",221.8035,3180.0886,17,1.261,1.51
"SD079",222.0035,3180.0886,23,1.323,2.03
"SD080",221.8035,3180.4886,16,1.3239,1.81
"SD081",221.8035,3180.9886,4,1.4619,1.45
"SD082",221.9035,3181.0886,28,1.3825,1.35
"SD083",222.1035,3181.3886,16,1.4785,1.34
"SD084",222.1035,3181.4886,3,1.4066,1.36
"SD086",221.7035,3181.7886,17,1.3932,2.36
"SD087",221.5035,3182.1886,7,1.3505,1.46
"SD088",221.4035,3182.2886,20,1.3072,1.66
"SD089",221.0035,3182.2886,6,1.3096,1.22
"SD090",220.9035,3182.7886,14,1.2638,1.61
"SD091",220.7035,3182.4886,9,1.1258,1.33
"SD092",220.2035,3182.1886,4,0.9288,1.4
"SD093",214.6035,3175.1886,21,0.4246,1.13
"SD094",223.2035,3155.0886,15,0.3838,1.06
"SD095",223.7035,3155.4886,18,0.3303,1.05
"SD096",223.7035,3155.1886,18,0.2677,1.06
"SD097",224.3035,3155.8886,11,0.2062,1.21
"SD098",215.1035,3189.0886,13,1.0853,1.06
"SD099",215.1035,3189.1886,10,1.0755,1.07
"SD100",213.6035,3190.3886,20,0.8504,1.16
"SD101",213.5035,3190.3886,17,0.764,1.09
"SD102",212.8035,3191.6886,12,0.5784,1.07
"SD103",213.0035,3191.7886,5,0.6018,1.22
"SD104",212.1035,3191.7886,13,0.4168,1.03
"SD105",212.2035,3191.6886,16,0.4647,1.06
"SD106",211.0035,3192.2886,8,0.1745,1.34
"SD107",210.9035,3192.3886,15,0.148,1.03
"SD108",223.7035,3189.5886,31,0.7077,2.3
"SD109",226.4035,3193.4886,14,0.2979,1.12
"SD110",227.6035,3193.1886,25,0.2167,1.02
"SD111",228.3035,3193.3886,15,0.1091,1.06
"SD112",229.3035,3192.3886,11,0.0308,1
"SD113",229.4035,3191.5886,16,0.1256,1.69
"SD114",229.8035,3190.7886,12,0.0928,1.21
"SD115",230.3035,3190.1886,13,0.0148,1
"SD116",216.6035,3179.9886,18,1.0375,1.27
